

Starting up round ID . 21:39:31
---------------------
[22:28:19]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:19]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:19]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:19]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:19]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:19]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:19]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:20]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:20]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:20]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:20]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:20]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:20]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:20]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:20]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:20]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:20]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:21]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:21]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:21]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:21]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:21]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:21]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:21]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:22]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:22]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:22]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:22]ATTACK: supper noob(noober84555) shot Katlyn Carmichael(jaxonmaxx) with The death bolt (NEWHP: -16.5) (174,284,2)
[22:28:22]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:22]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:22]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:22]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:22]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:22]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:22]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:23]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:23]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:23]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:23]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:23]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:23]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:23]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:23]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:23]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
[22:28:23]ATTACK: supper noob(noober84555) fired at Atrium with The death bolt Construction Area   
